valid_year,base_model,calibration,target_rate_estimator,mean_matching,strategy,parameter,cap_type,cap_value,target_rate,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.015,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505880022026242,-0.0005880040315124624,0.0,0.5154708686332126,0.6943259446877199,0.5273892473385746,0.010694832333698567
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.015,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976478761697438,4.2139139813601734e-05,16.868683491162116,0.5106875170195614,0.6926765794835302,0.48757137179403626,0.004855122170585121
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.02,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24893606252012107,0.00022754542620059826,91.32370014870683,0.5322417094399108,0.6910177459712161,0.5115801247972458,0.011214624664775586
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.02,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25057293532217706,-0.0005729371510652947,0.0,0.5152802781766097,0.6942969577740689,0.5272607515327059,0.014442021188346702
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.02,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497737628717302,3.3163885057779785e-05,13.275806835439813,0.5106875841054714,0.6926945040986588,0.48773180907249797,0.00580479550222557
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.02,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24899169628534962,0.00017191166097205168,68.99549351889596,0.5324856858143385,0.6911293150857813,0.5115786890605476,0.009657522340716857
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.02,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505736521080649,-0.0005736539369531612,0.0,0.5154708686332126,0.6942979378497898,0.5273214231629088,0.012909256084081076
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.02,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976734905325906,3.9577703528914654e-05,15.843317094024181,0.5106875170195614,0.6926816925734426,0.4876241169698669,0.005190296614665203
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.025,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2488796074619585,0.00028400048436316716,113.9815267181195,0.5324374362957487,0.6909044644810594,0.5115328374445445,0.012089069418511478
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.025,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.250573481960596,-0.0005734837894842137,0.0,0.5153281831041353,0.6942991570397812,0.5271827687040312,0.01666619453285333
